contratto,diam,dens
1,17->11(1.7976931348623157e+308),4.642295431752597e-05
2,14543->14529(1.7976931348623157e+308),7.768039619987377e-05
3,25863->25850(1.7976931348623157e+308),4.803962540894997e-05
4,39247->39243(1.7976931348623157e+308),0.0006252386185704371
5,40385->40367(1.7976931348623157e+308),6.853858515695336e-05
6,51735->51720(1.7976931348623157e+308),5.312347379827638e-05
7,64245->64236(1.7976931348623157e+308),7.160693472443482e-05
8,74453->74446(1.7976931348623157e+308),0.00010117708825246427
9,83770->83761(1.7976931348623157e+308),8.110205598965203e-05
10,94486->94477(1.7976931348623157e+308),7.806804565558657e-05
